action,serial_number,asset_id,asset_tag,old_serial
keep,"AMD ATHLON 1.8GHZ",195,QC.01.11.2,"AMD ATHLON 1.8GHZ"
nullified,"AMD ATHLON 1.8GHZ",489,QC.01.11.222.97,"AMD ATHLON 1.8GHZ"
keep,"H310M INTEL CORE I5 6500 3.2GH",459,QC.03.01.222.67,"H310M INTEL CORE I5 6500 3.2GH"
nullified,"H310M INTEL CORE I5 6500 3.2GH",461,QC.03.01.222.69,"H310M INTEL CORE I5 6500 3.2GH"
nullified,"H310M INTEL CORE I5 6500 3.2GH",462,QC.03.01.222.70,"H310M INTEL CORE I5 6500 3.2GH"
nullified,"H310M INTEL CORE I5 6500 3.2GH",463,QC.03.01.222.71,"H310M INTEL CORE I5 6500 3.2GH"
nullified,"H310M INTEL CORE I5 6500 3.2GH",464,QC.03.01.222.72,"H310M INTEL CORE I5 6500 3.2GH"
keep,"H310M INTEL CORE I5 6500 3.2GH B365",465,QC.03.01.222.73,"H310M INTEL CORE I5 6500 3.2GH B365"
nullified,"H310M INTEL CORE I5 6500 3.2GH B365",466,QC.03.01.222.74,"H310M INTEL CORE I5 6500 3.2GH B365"
nullified,"H310M INTEL CORE I5 6500 3.2GH B365",472,QC.31.05.222.80,"H310M INTEL CORE I5 6500 3.2GH B365"
keep,"HP BUILT UP INTEL CORE I3-3220 @3.3GHZ",470,QC.31.05.222.78,"HP BUILT UP INTEL CORE I3-3220 @3.3GHZ"
nullified,"HP BUILT UP INTEL CORE I3-3220 @3.3GHZ",471,QC.31.05.222.79,"HP BUILT UP INTEL CORE I3-3220 @3.3GHZ"
keep,"INTEL CELERON 1610 2.6 GHZ",140,QC.20.01.2,"INTEL CELERON 1610 2.6 GHZ"
nullified,"INTEL CELERON 1610 2.6 GHZ",434,QC.20.01.222.42,"INTEL CELERON 1610 2.6 GHZ"
keep,"INTEL CORE 2 DUO E7500 3.0 GHZ",179,QC.02.10.2,"INTEL CORE 2 DUO E7500 3.0 GHZ"
nullified,"INTEL CORE 2 DUO E7500 3.0 GHZ",473,QC.02.10.222.81,"INTEL CORE 2 DUO E7500 3.0 GHZ"
keep,"INTEL CORE I3 1115G4 3.0GHZ",453,QC.18.02.222.61,"INTEL CORE I3 1115G4 3.0GHZ"
nullified,"INTEL CORE I3 1115G4 3.0GHZ",475,QC.18.02.222.83,"INTEL CORE I3 1115G4 3.0GHZ"
