id,asset_tag,name,qr_code,serial_number,model_id,division_id,supplier_id,movement_id,status_id,assigned_to,notes,ip_address,mac_address,purchase_date,warranty_months,warranty_type_id,invoice_id,created_at,updated_at,ip,mac
195,QC.01.11.2,,AST-68FAFAE361330,"AMD ATHLON 1.8GHZ",27,124,10,,2,,"Sample asset note",192.168.1.197,00:11:22:33:44:15,2007-01-11,0,10,,"2025-10-24 11:04:51","2025-10-27 14:04:07",,
489,QC.01.11.222.97,,AST-68FB1016C4207,"AMD ATHLON 1.8GHZ",27,124,10,,15,,"Sample asset note",192.168.1.197,00:11:22:33:44:15,2007-01-11,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
459,QC.03.01.222.67,,AST-68FB101643336,"H310M INTEL CORE I5 6500 3.2GH",27,142,10,,15,,"Sample asset note",192.168.1.167,00:11:22:33:44:12,2013-01-30,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
461,QC.03.01.222.69,,AST-68FB10164AEFD,"H310M INTEL CORE I5 6500 3.2GH",27,142,10,,15,,"Sample asset note",192.168.1.169,00:11:22:33:44:12,2015-01-30,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
462,QC.03.01.222.70,,AST-68FB10164EF9D,"H310M INTEL CORE I5 6500 3.2GH",27,142,10,,15,,"Sample asset note",192.168.1.170,00:11:22:33:44:12,2015-01-30,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
463,QC.03.01.222.71,,AST-68FB101653039,"H310M INTEL CORE I5 6500 3.2GH",27,142,10,,15,,"Sample asset note",192.168.1.171,00:11:22:33:44:12,2015-01-30,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
464,QC.03.01.222.72,,AST-68FB101659AE3,"H310M INTEL CORE I5 6500 3.2GH",27,142,10,,15,,"Sample asset note",192.168.1.172,00:11:22:33:44:12,2015-01-30,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
465,QC.03.01.222.73,,AST-68FB10165D987,"H310M INTEL CORE I5 6500 3.2GH B365",27,142,10,,15,,"Sample asset note",192.168.1.173,00:11:22:33:44:12,2015-01-30,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
466,QC.03.01.222.74,,AST-68FB10166167C,"H310M INTEL CORE I5 6500 3.2GH B365",27,142,10,,15,,"Sample asset note",192.168.1.174,00:11:22:33:44:12,2015-01-30,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
472,QC.31.05.222.80,,AST-68FB1016793BC,"H310M INTEL CORE I5 6500 3.2GH B365",27,142,10,,15,,"Sample asset note",192.168.1.180,00:11:22:33:44:13,2018-05-31,0,,,"2025-10-24 12:35:18","2025-10-24 12:35:18",,
